model,horizon,MAE,RMSE,MASE
ets,1,26111.369536351256,34756.68768169712,0.15818341402730904
arima,1,26150.973847366266,33952.24957990077,0.1584233380618501
sarima,1,26974.87368651107,36836.50991821488,0.16341454655403734
STL+TCN,1,27849.451199755895,36683.10396677568,0.16871276182704262
Smooth-MA,1,28053.165834154435,36362.21028842861,0.16994687083506016
naive,1,28100.0,36493.37839480837,0.1702305935343333
Filter+MA,1,28205.916515676792,36530.21873687239,0.1708722387773493
Filter+ES,1,28216.165174545557,36550.4618616546,0.17093432544219486
Raw,1,28244.779481046335,36470.74657690137,0.17110767171903477
Filter,1,28263.782194056897,36538.52256040406,0.17122279069108282
Smooth-ES,1,28340.185616709805,36582.626149195225,0.1716856447831205
Smooth-MA,3,33222.29210829472,43183.330112868665,0.20126158377814976
Raw,3,33448.34767800481,43352.338955409614,0.202631034803185
Smooth-ES,3,33456.71412438242,43196.95403551682,0.20268171897160617
STL+TCN,3,33516.51684967407,44266.709452724805,0.20304400557023136
ets,3,34286.93106519451,45341.99045850734,0.2077111966440866
sarima,3,34862.76630859836,43044.386337873504,0.21119962281001628
arima,3,35140.216562469745,44062.63434101226,0.21288042428306886
naive,3,37000.0,46467.55140238544,0.22414704486727163
Filter,3,37248.496245172704,47005.70908187976,0.22565244213797636
Filter+MA,3,37653.60555085804,47453.04503042189,0.22810660575196556
Filter+ES,3,37791.26601298068,47504.25254117092,0.2289405567189886
Smooth-MA,6,31052.709514331127,40297.89772104526,0.18811819115565223
Raw,6,32773.07759763736,41854.13836682923,0.19854022958692424
Smooth-ES,6,32966.69334500947,41031.9889224679,0.19971315925214658
STL+TCN,6,33021.91736027271,41681.442668220145,0.20004770789611848
sarima,6,33501.74869771876,44327.20358266368,0.20295453968863852
arima,6,43238.13064529067,50682.45806657471,0.26193781647910597
ets,6,43357.50950909547,54913.69750090411,0.26266101700725347
naive,6,43700.0,51267.59860444671,0.2647358340729668
Filter+MA,6,50368.48221202976,58578.85172825554,0.3051336876290867
Filter+ES,6,50892.94110818952,59028.51704819305,0.30831087443256133
Filter,6,51871.11474136097,60079.077092532265,0.3142366779256009
STL+TCN,12,38881.73704883346,47060.93770895855,0.2355466610487117
Smooth-ES,12,44859.380647256745,53767.66059923432,0.2717593947745588
Smooth-MA,12,45289.663263623304,53984.07530960576,0.27436605901554045
Raw,12,46446.93803862652,55582.705411090006,0.28137686228355147
sarima,12,47508.82475841488,59031.60067995488,0.28780980201934503
arima,12,64209.93372585305,77081.52027929235,0.38898559177765735
naive,12,64816.666666666664,77596.28427530105,0.3926611970670357
ets,12,65807.67685872942,82160.88222866326,0.39866476479633883
Filter+ES,12,94242.79214849646,104643.33327355834,0.5709254962196214
Filter,12,94307.85953758334,104442.45853313275,0.5713196763001904
Filter+MA,12,99064.82764289509,109026.06526178546,0.6001375234173119
STL+TCN,mean,33317.40561463404,42423.04844916979,0.20183778408552602
Smooth-MA,mean,34404.457680100895,43456.87835798707,0.20842317619610065
Smooth-ES,mean,34905.74343333961,43644.80742660356,0.21145997944535802
Raw,mean,35228.28569882875,44314.98232755756,0.2134139495981739
sarima,mean,35712.053362810766,45809.92512967673,0.2163446277680093
arima,mean,42184.813695244935,51444.71556669503,0.25555679265042053
ets,mean,42390.871742342664,54293.314467442964,0.25680509811874697
naive,mean,43404.166666666664,52956.20316923539,0.26294366738540187
Filter+ES,mean,52785.791111053055,61931.64118114422,0.31977781320334153
Filter,mean,52922.813179543475,62016.44181698721,0.3206078967637126
Filter+MA,mean,53823.207980364925,62897.04518933382,0.3260625138939284
